Ingredient name,Role in formulation
(Adonis Amurensis/Akebia Quinata/Albizia Julibrissin/Althaea Rosea/Angelica Acutiloba/Angelica Anomala/Aquilegia Buergeriana/Artemisia Princeps/Aster Ciliosus/Aster Scaber/Brassica Campestris/Broussonetia Kazinoki/Callistephus Chinensis/Camellia Japonica/Camellia Sinensis/Campsis Grandiflora/Caragana Sinica/Carthamustinctorius/Cassia Obtusifolia/Celosia Cristata/Cercis Chinensis/Chaenomeles Sinensis/Chrysanthemum Indicum/Chrysanthemum Zawadskii/Clematis Terniflora/Commelina Communis/Cornus Kousa/Cornus Officinalis/Corydalis Incisa/Corydalis Turtschaninovii/Cucurbita Moschate/Dendrobium Nobile/Dianthus Chinensis/Elsholtzia Splendens/Eupatorium Lindleyanum/Forsythia Koreana/Fritillaria Ussuriensis/Gardenia Jasminoides/Ginkgo Biloba/Helianthus Annuus/Helianthus Tuberosus/Hemerocallis Fulva/Hibiscus Mutabilis/Hibiscus Syriacus/Hosta Plantaginae/Hydrangea Macrophylla/Impatiens Balsamina/Ipomoea Hederacea/Iris Pallasii/Iris Pseudacorus/Kerria Japonica/Lagerstroemia Indica/Leonurus Sibiricus/Lespedeza Bicolor/Lilium Lancifolium/Lindera Obtusiloba/Liriopes Muscari/Lonicera Japonica/Lycoris Radiata/Magnolia Kobus/Magnolia Liliflora/Malus Sieboldii/Narcissus Tazetta/Nelumbo Nucifera/Oenothera Biennis/Paeonia Lactiflora/Paeonia Suffruticosa/Papaver Rhoeas/Patrinia Scabiosifolia/Paulownia Coreana/Persicaria Thunbergii/Petasites Japonicus/Platycodon Grandiflorus/Polygonum Odoratum/Ponicirus Trifoliata/Prunus Armeniaca/Prunus Mume/Prunus Persica/Prunus Serrulata/Prunus Tomentosa/Pueraria Lobata/Punica Granatum/Rhododendron Mucronulatum/Robinia Pseudacacia/Rosa Multiflora/Rosa Rugosa/Sasa Borealis/Sophora Japonica/Spiraea Prunifolia/Styrax Japonica/Syringa Vulgaris/Taraxacum Platycarpum/Tulipa Edulis/Viola Mandschurica/Weigela Subsessilis/Wisteria Sinensis/Zanthoxylum Schinifolium/Zea Mays/Zingiber Mioga/Zinnia Elegans) Flower Extract,"Active - Antioxidant, Active"
(Alpinia Zerumbet/Artemisia Princeps/Averrhoa Carambola/Camellia Sinensis/Eriobotrya Japonica/Ginkgo Biloba/Melissa Officinalis/Mentha Piperita/Olea Europaea/Origanum Majorana/Perilla Frutescens/Prunus Persica/Salvia Officinalis) Leaf Extract,"Active - Antioxidant, Active"
(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract,Active
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract,Active
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale/Zingiber Officinale) Rhizome Extract,Active
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract,Active
(Angelica Gigas/Cnidium Officinale/Paeonia Lactiflora) Root Extract,Active
(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract,Active
(Arctium Lappa/Raphanus Sativus/Malva Verticillata) Seed Oil,Emollient
(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Coltsfoot/Cyanus Segetum/Honeysuckle/Hops/Lavender/Mallow/Matricaria Chamomilla/Rosa Centifolia/Sambucus Nigra) Flower Extract,Active
