inci_name,rinse_off,leave_on,eye_area,source
salicylic acid,"3% (hair), 2% (other)",2%,0.5%,EU Annex III
climbazole,"2% (anti-dandruff), 0.5% (preservative)",0.2%,Not approved,EU Annex III / SCCS
zinc pyrithione,2% (rinse-off only),,Not approved,EU Annex III
selenium sulfide,1%,,Not approved,EU Annex III
resorcinol,0.5%,,Not approved,EU Annex III
kojic acid,1%,1%,0.5%,EU Annex III
hydroquinone,0.3%,,Not approved,EU Annex III
alpha arbutin,,2%,1%,SCCS
arbutin,,2%,1%,SCCS
tretinoin,,0.05% (Rx only),Not approved,EU Annex III
retinol,,"0.3% (face/body), 0.05% (face)",0.05%,SCCS Vitamin A opinion
retinyl retinoate,0.3%,0.3%,0.1%,SCCS Vitamin A opinion
retinyl palmitate,,0.3% (as retinol equivalent),0.1%,SCCS Vitamin A opinion
niacinamide,1-6%,2-10%,2-5%,CIR
ascorbic acid,,5-20%,5%,CIR
sodium ascorbyl phosphate,,1-3%,1%,CIR
ascorbyl glucoside,,2%,1%,CIR
glycolic acid,4%,10% (pH >=3.5),Not approved,EU Annex III
lactic acid,6%,10% (pH >=3.5),Not approved,EU Annex III
mandelic acid,,5-10%,Not approved,CIR
azelaic acid,,10-20%,Not approved,CIR
benzoyl peroxide,2.5-10%,2.5-5%,Not approved,EU Annex III
eucalyptol,,0.1% (body/hand),Not approved,CIR
cinnamic acid,0.01% (labeling),0.001% (labeling),Not approved,EU Annex III
cinnamomum zeylanicum bark oil,,0.18%,Not approved,IFRA 51st Cat 5A
lavandula spica flower oil,,10%,5%,IFRA 51st Cat 5A
lavandula spica oil,,10%,5%,IFRA 51st Cat 5A
evernia prunastri extract,,0.1%,Not approved,IFRA 51st
citrus reticulata leaf oil,,Not restricted,Not restricted,IFRA 50th/51st
citrus limon juice,,2% (phototoxic limit),Not approved,IFRA/CIR
phenoxyethanol,1%,1%,0.5%,EU Annex V
methylparaben,"0.4% (single), 0.8% (mixture)",0.4%,0.4%,EU Annex V
ethylparaben,"0.4% (single), 0.8% (mixture)",0.4%,0.4%,EU Annex V
propylparaben,0.14%,0.14%,0.14%,EU Annex V
butylparaben,0.14%,0.14%,0.14%,EU Annex V
benzyl alcohol,1%,1%,Not approved,EU Annex V
chlorphenesin,0.3%,0.3%,0.3%,EU Annex V
sodium benzoate,0.5%,0.5%,0.5%,EU Annex V
potassium sorbate,0.6%,0.6%,0.6%,EU Annex V
dehydroacetic acid,0.6%,0.6%,0.6%,EU Annex V
caprylyl glycol,,3%,1%,CIR
zinc oxide,25%,25%,25%,EU Annex VI
titanium dioxide,25%,25%,25%,EU Annex VI
avobenzone,5%,5%,3%,EU Annex VI
octocrylene,10%,10%,Not approved,EU Annex VI
homosalate,10%,10%,Not approved,EU Annex VI
octinoxate,7.5%,7.5%,Not approved,EU Annex VI
minoxidil,5%,,Not approved,FDA/CIR
caffeine,,3-5% (hair),1%,CIR
biotin,,0.1-1%,0.1%,CIR
ketoconazole,2%,,Not approved,EU Annex III
hyaluronic acid,,0.1-2%,0.1-1%,CIR
sodium hyaluronate,,0.1-2%,0.1-1%,CIR
glycerin,5-30%,5-30%,5-20%,CIR
panthenol,1-5%,1-5%,1-2%,CIR
allantoin,,0.5-2%,0.5-1%,CIR
centella asiatica extract,,0.1-5%,0.1-2%,CIR
bakuchiol,,0.5-2%,Not approved,CIR
ceramide np,,0.1-1%,0.1-0.5%,CIR
ceramide ap,,0.1-1%,0.1-0.5%,CIR
ceramide eop,,0.1-1%,0.1-0.5%,CIR
cholesterol,,1-3%,0.5-1%,CIR
squalane,,1-10%,1-5%,CIR
dimethicone,1-10%,1-10%,1-5%,CIR
cyclomethicone,1-10%,1-10%,Not approved,CIR
cyclopentasiloxane,1-10%,1-10%,Not approved,CIR
adenosine,,0.04%,0.04%,CIR
resveratrol,,0.5-1%,Not approved,CIR
coenzyme q10,,0.3-1%,0.1-0.5%,CIR
tocopherol,,0.1-1%,0.1-0.5%,CIR
tocopheryl acetate,,0.1-1%,0.1-0.5%,CIR
ferulic acid,,0.5-1%,Not approved,CIR
tranexamic acid,,2-5%,Not approved,CIR
alpha-bisabolol,,0.1-0.5%,0.1-0.25%,CIR
bisabolol,,0.1-0.5%,0.1-0.25%,CIR
