0,1,2,3,4,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,,,,
Ingredient name,INCI Name,Aliases,Allergen Potential,Risk of irritation,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description,Moisturizing,Nourishing,Exfoliating,Soothing,Healing,Smoothing,Brightening,Minimizes pores,Firming,Known concentration Rinse-off,Known concentration Leave-on,Description,Predicted or manual,Correction made,Description
"1, 1, 1-trimethylol propane trimethacrylate",Trimethylolpropane Trimethacrylate,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,1,1,2,2,3,3,4,4-nonafluorononane","1,1,1,2,2,3,3,4,4-Nonafluorononane",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,10-decanediol","1,10-Decanediol",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2 epoxybutane","1,2-Epoxybutane",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2 pentanediol",Pentylene Glycol,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4-benzenetricarboxylic acid 1,2,4-tritridecyl ester",Tridecyl Trimellitate,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4-triacetoxybenzene","1,2,4-Triacetoxybenzene",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4-trihydroxybenzene","1,2,4-Trihydroxybenzene",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,6 hexanetriol","1,2,6-Hexanetriol",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
