0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,,,,,
Ingredient name,INCI Name,Aliases,Allergen potential,Risk of irritation,Role in formulation,Note,Source,Comedogenic Rating,Concentration rinse-off,Concentration Leave-on,Concentration Sensitive/eye area,Side effects,Incompatible with,Works well with,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Unscented,Paraben-free,Sulphate-free,Silicon-free,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Seafood-free,Dairy-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description,Moisturizing,Nourishing,Exfoliating,Soothing,Healing,Smoothing,Brightening,Minimizes pores,Firming,Known concentration Rinse-off,Known concentration Leave-on,Description,Predicted or manual,Correction made,Description,Raw CosIng Role
(Adonis Amurensis/Akebia Quinata/Albizia Julibrissin/Althaea Rosea/Angelica Acutiloba/Angelica Anomala/Aquilegia Buergeriana/Artemisia Princeps/Aster Ciliosus/Aster Scaber/Brassica Campestris/Broussonetia Kazinoki/Callistephus Chinensis/Camellia Japonica/Camellia Sinensis/Campsis Grandiflora/Caragana Sinica/Carthamustinctorius/Cassia Obtusifolia/Celosia Cristata/Cercis Chinensis/Chaenomeles Sinensis/Chrysanthemum Indicum/Chrysanthemum Zawadskii/Clematis Terniflora/Commelina Communis/Cornus Kousa/Cornus Officinalis/Corydalis Incisa/Corydalis Turtschaninovii/Cucurbita Moschate/Dendrobium Nobile/Dianthus Chinensis/Elsholtzia Splendens/Eupatorium Lindleyanum/Forsythia Koreana/Fritillaria Ussuriensis/Gardenia Jasminoides/Ginkgo Biloba/Helianthus Annuus/Helianthus Tuberosus/Hemerocallis Fulva/Hibiscus Mutabilis/Hibiscus Syriacus/Hosta Plantaginae/Hydrangea Macrophylla/Impatiens Balsamina/Ipomoea Hederacea/Iris Pallasii/Iris Pseudacorus/Kerria Japonica/Lagerstroemia Indica/Leonurus Sibiricus/Lespedeza Bicolor/Lilium Lancifolium/Lindera Obtusiloba/Liriopes Muscari/Lonicera Japonica/Lycoris Radiata/Magnolia Kobus/Magnolia Liliflora/Malus Sieboldii/Narcissus Tazetta/Nelumbo Nucifera/Oenothera Biennis/Paeonia Lactiflora/Paeonia Suffruticosa/Papaver Rhoeas/Patrinia Scabiosifolia/Paulownia Coreana/Persicaria Thunbergii/Petasites Japonicus/Platycodon Grandiflorus/Polygonum Odoratum/Ponicirus Trifoliata/Prunus Armeniaca/Prunus Mume/Prunus Persica/Prunus Serrulata/Prunus Tomentosa/Pueraria Lobata/Punica Granatum/Rhododendron Mucronulatum/Robinia Pseudacacia/Rosa Multiflora/Rosa Rugosa/Sasa Borealis/Sophora Japonica/Spiraea Prunifolia/Styrax Japonica/Syringa Vulgaris/Taraxacum Platycarpum/Tulipa Edulis/Viola Mandschurica/Weigela Subsessilis/Wisteria Sinensis/Zanthoxylum Schinifolium/Zea Mays/Zingiber Mioga/Zinnia Elegans) Flower Extract,(Adonis Amurensis/Akebia Quinata/Albizia Julibrissin/Althaea Rosea/Angelica Acutiloba/Angelica Anomala/Aquilegia Buergeriana/Artemisia Princeps/Aster Ciliosus/Aster Scaber/Brassica Campestris/Broussonetia Kazinoki/Callistephus Chinensis/Camellia Japonica/Camellia Sinensis/Campsis Grandiflora/Caragana Sinica/Carthamustinctorius/Cassia Obtusifolia/Celosia Cristata/Cercis Chinensis/Chaenomeles Sinensis/Chrysanthemum Indicum/Chrysanthemum Zawadskii/Clematis Terniflora/Commelina Communis/Cornus Kousa/Cornus Officinalis/Corydalis Incisa/Corydalis Turtschaninovii/Cucurbita Moschate/Dendrobium Nobile/Dianthus Chinensis/Elsholtzia Splendens/Eupatorium Lindleyanum/Forsythia Koreana/Fritillaria Ussuriensis/Gardenia Jasminoides/Ginkgo Biloba/Helianthus Annuus/Helianthus Tuberosus/Hemerocallis Fulva/Hibiscus Mutabilis/Hibiscus Syriacus/Hosta Plantaginae/Hydrangea Macrophylla/Impatiens Balsamina/Ipomoea Hederacea/Iris Pallasii/Iris Pseudacorus/Kerria Japonica/Lagerstroemia Indica/Leonurus Sibiricus/Lespedeza Bicolor/Lilium Lancifolium/Lindera Obtusiloba/Liriopes Muscari/Lonicera Japonica/Lycoris Radiata/Magnolia Kobus/Magnolia Liliflora/Malus Sieboldii/Narcissus Tazetta/Nelumbo Nucifera/Oenothera Biennis/Paeonia Lactiflora/Paeonia Suffruticosa/Papaver Rhoeas/Patrinia Scabiosifolia/Paulownia Coreana/Persicaria Thunbergii/Petasites Japonicus/Platycodon Grandiflorus/Polygonum Odoratum/Ponicirus Trifoliata/Prunus Armeniaca/Prunus Mume/Prunus Persica/Prunus Serrulata/Prunus Tomentosa/Pueraria Lobata/Punica Granatum/Rhododendron Mucronulatum/Robinia Pseudacacia/Rosa Multiflora/Rosa Rugosa/Sasa Borealis/Sophora Japonica/Spiraea Prunifolia/Styrax Japonica/Syringa Vulgaris/Taraxacum Platycarpum/Tulipa Edulis/Viola Mandschurica/Weigela Subsessilis/Wisteria Sinensis/Zanthoxylum Schinifolium/Zea Mays/Zingiber Mioga/Zinnia Elegans) Flower Extract,,Moderate risk,Low risk,Active - Antioxidant,,CosIng Inventory,0,,,,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,Manual,,,"Active - Antioxidant, Active"
(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract,(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract,(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Alpinia Zerumbet/Artemisia Princeps/Averrhoa Carambola/Camellia Sinensis/Eriobotrya Japonica/Ginkgo Biloba/Melissa Officinalis/Mentha Piperita/Olea Europaea/Origanum Majorana/Perilla Frutescens/Prunus Persica/Salvia Officinalis) Leaf Extract,(Alpinia Zerumbet/Artemisia Princeps/Averrhoa Carambola/Camellia Sinensis/Eriobotrya Japonica/Ginkgo Biloba/Melissa Officinalis/Mentha Piperita/Olea Europaea/Origanum Majorana/Perilla Frutescens/Prunus Persica/Salvia Officinalis) Leaf Extract,,Moderate risk,Low risk,Active - Antioxidant,,CosIng Inventory,0,,,,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,Manual,,,"Active - Antioxidant, Active"
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale/Zingiber Officinale) Rhizome Extract,(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale/Zingiber Officinale) Rhizome Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract,(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Angelica Gigas/Cnidium Officinale/Paeonia Lactiflora) Root Extract,(Angelica Gigas/Cnidium Officinale/Paeonia Lactiflora) Root Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract,(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5,,0.2,,0.2,,0.2,,3.0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,6.0,6.0,3.0,0.2,0.0,0.5,,,,Manual,,,Active
(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Coltsfoot/Cyanus Segetum/Honeysuckle/Hops/Lavender/Mallow/Matricaria Chamomilla/Rosa Centifolia/Sambucus Nigra) Flower Extract,(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Coltsfoot/Cyanus Segetum/Honeysuckle/Hops/Lavender/Mallow/Matricaria Chamomilla/Rosa Centifolia/Sambucus Nigra) Flower Extract,,Low risk,Low risk,Active,,CosIng Inventory,0,,,,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,Manual,,,Active
