ingredient_name,url,irritant_free,teen_safe,fragrance_free,paraben_free,gluten_free,soy_free,nut_free,dairy_free,dye_free,silicon_free,sulphate_free,latex_free,sesame_free,citrus_free,seafood_free,vegan,vegetarian,paleo,unscented,scent_free
"1, 1, 1-Trimethylol Propane Trimethacrylate",https://www.skinsafeproducts.com/ingredients/1-1-1-trimethylol-propane-trimethacrylate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,1,1,2,2,3,3,4,4-NONAFLUORONONANE",https://www.skinsafeproducts.com/ingredients/1-1-1-2-2-3-3-4-4-nonafluorononane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,1-Dimethyl-2-Phenylethyl Acetate",https://www.skinsafeproducts.com/ingredients/1-1-dimethyl-2-phenylethyl-acetate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2 Epoxybutane",https://www.skinsafeproducts.com/ingredients/1-2-epoxybutane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2 Pentanediol",https://www.skinsafeproducts.com/ingredients/1-2-pentanediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2,4-Benzenetricarboxylic Acid 1,2,4-Tritridecyl Ester",https://www.skinsafeproducts.com/ingredients/1-2-4-benzenetricarboxylic-acid-1-2-4-tritridecyl-ester,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2,4-triacetoxybenzene",https://www.skinsafeproducts.com/ingredients/1-2-4-triacetoxybenzene,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2,6 HEXANETRIOL",https://www.skinsafeproducts.com/ingredients/1-2-6-hexanetriol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2-DIARACHIDOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",https://www.skinsafeproducts.com/ingredients/1-2-diarachidoyl-sn-glycero-3-phosphocholine,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,2-Octanediol",https://www.skinsafeproducts.com/ingredients/1-2-octanediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
